yang	- 35,955,302-
dan	- 27,358,928-
di	- 20,241,064-
dengan	- 14,131,699-
ini	- 13,462,836-
untuk	- 12,610,923-
dari	- 10,872,165-
dalam	- 9,980,369-
itu	- 9,574,496-
tidak	- 8,714,464-
pada	- 7,907,450-
ada	- 7,328,927-
akan	- 6,905,187-
dapat	- 6,091,654-
bagai	- 5,637,743-
juga	- 5,293,218-
adalah	- 4,837,746-
ke	- 4,718,340-
bisa	- 4,608,850-
oleh	- 4,603,298-
karena	- 4,490,227-
telah	- 4,412,822-
atau	- 4,312,586-
lebih	- 4,011,249-
saya	- 3,954,506-
bagi	- 3,773,787-
mereka	- 3,637,454-
sudah	- 3,600,208-
kita	- 3,581,971-
cara	- 3,149,017-
banyak	- 3,092,043-
saat	- 3,057,120-
anda	- 2,926,691-
belum	- 2,876,990-
harus	- 2,854,761-
seperti	- 2,761,571-
tetapi	- 2,725,811-
kami	- 2,555,512-
bahwa	- 2,544,111-
kepada	- 2,512,298-
para	- 2,276,984-
dia	- 2,253,264-
ia	- 2,235,866-
jika	- 1,931,458-
apa	- 1,844,534-
semua	- 1,749,196-
aku	- 1,614,194-
sedang	- 1,542,495-
tentang	- 1,502,488-
kalau	- 1,426,420-
antara	- 1,396,530-
bukan	- 1,326,529-
tiap	- 1,307,677-
mungkin	- 1,299,976-
pun	- 1,262,607-
ketika	- 1,177,432-
pernah	- 890,320-
sekarang	- 822,161-
sejak	- 807,030-
tanpa	- 776,972-
paling	- 761,328-
jangan	- 570,133-
sering	- 541,264-
mana	- 484,486-
kamu	- 418,420-
masing	- 418,178-
boleh	- 414,109-
ya	- 389,004-
selamat	- 365,726-
siapa	- 358,495-
sang	- 342,426-
kalian	- 257,613-
mohon	- 229,066-
daripada	- 222,927-
sila	- 201,111-
berapa	- 198,973-
mengapa	- 177,578-
tolong	- 154,687-
kenapa	- 153,735-
kapan	- 115,318-
mari	- 96,151-
iya	- 43,758-
ayo	- 24,719-
jadi	- 7,204,860-
sebut	- 5,116,126-
orang	- 4,946,682-
kata	- 4,732,758-
laku	- 4,665,497-
lain	- 4,441,256-
tahun	- 3,992,373-
lalu	- 3,782,500-
satu	- 3,170,784-
baik	- 3,051,130-
guna	- 2,953,149-
kerja	- 2,778,747-
hingga	- 2,764,032-
dua	- 2,722,563-
milik	- 2,721,553-
besar	- 2,658,575-
buat	- 2,584,641-
rupa	- 2,535,381-
beri	- 2,507,753-
hanya	- 2,495,198-
jalan	- 2,463,484-
sama	- 2,461,843-
hal	- 2,397,184-
baru	- 2,355,030-
sangat	- 2,235,482-
hari	- 2,220,031-
masih	- 2,213,115-
rumah	- 2,172,105-
kali	- 2,084,950-
hadap	- 2,038,673-
diri	- 2,035,270-
namun	- 2,013,097-
lama	- 1,940,866-
tak	- 1,940,538-
sampai	- 1,922,620-
masuk	- 1,895,300-
waktu	- 1,866,595-
lihat	- 1,807,110-
salah	- 1,781,930-
saja	- 1,781,725-
atas	- 1,773,947-
akhir	- 1,755,381-
anak	- 1,725,917-
beberapa	- 1,722,823-
tahu	- 1,712,196-
buah	- 1,683,282-
harga	- 1,660,050-
ajar	- 1,646,450-
mau	- 1,620,293-
bangun	- 1,604,573-
rasa	- 1,601,586-
kota	- 1,597,589-
turut	- 1,596,696-
tempat	- 1,579,697-
lagi	- 1,568,157-
mula	- 1,546,451-
temu	- 1,527,533-
tentu	- 1,515,104-
luar	- 1,495,397-
nyata	- 1,479,006-
sekolah	- 1,418,972-
hidup	- 1,403,074-
tetap	- 1,372,734-
perlu	- 1,342,726-
tinggi	- 1,331,033-
agar	- 1,330,135-
jelas	- 1,320,211-
siswa	- 1,315,615-
suatu	- 1,249,608-
benar	- 1,249,451-
dunia	- 1,230,776-
ingin	- 1,227,580-
main	- 1,220,132-
harap	- 1,181,288-
tiga	- 1,180,271-
dasar	- 1,180,266-
cari	- 1,157,901-
tua	- 1,155,204-
kembali	- 1,143,779-
masalah	- 1,131,338-
utama	- 1,109,086-
kurang	- 1,100,622-
bantu	- 1,096,610-
umum	- 1,096,267-
datang	- 1,087,960-
uang	- 1,086,850-
air	- 1,078,950-
nama	- 1,070,582-
terima	- 1,063,700-
bulan	- 1,057,361-
punya	- 1,047,035-
polisi	- 1,044,642-
jual	- 1,042,461-
penting	- 1,040,459-
pertama	- 1,032,533-
sakit	- 1,027,693-
hati	- 1,009,385-
biasa	- 987,544-
buka	- 981,015-
cukup	- 971,563-
bahkan	- 965,172-
minta	- 935,616-
pasar	- 931,828-
tinggal	- 928,026-
turun	- 919,424-
sehat	- 908,125-
tulis	- 903,696-
kuat	- 900,592-
makan	- 897,598-
kepala	- 846,512-
penuh	- 836,153-
kenal	- 834,269-
depan	- 829,455-
dekat	- 827,151-
naik	- 799,759-
pasti	- 790,055-
pakai	- 788,374-
bank	- 759,950-
guru	- 736,152-
awal	- 733,978-
mudah	- 720,048-
cepat	- 720,042-
ambil	- 716,592-
dahulu	- 712,198-
tanya	- 711,872-
begitu	- 711,775-
mobil	- 710,279-
pikir	- 706,590-
tangan	- 701,612-
keluarga	- 699,359-
asal	- 698,219-
jauh	- 690,402-
panjang	- 687,875-
kecil	- 677,255-
tarik	- 675,222-
bawa	- 654,522-
ibu	- 653,989-
duduk	- 645,861-
barat	- 639,353-
bahasa	- 637,179-
mata	- 635,954-
buku	- 623,709-
bila	- 618,565-
nanti	- 608,220-
kamar	- 607,684-
jenis	- 605,932-
beli	- 601,072-
baca	- 598,453-
ruang	- 595,715-
selesai	- 586,953-
minyak	- 586,322-
kantor	- 582,756-
empat	- 566,753-
timur	- 554,181-
muda	- 538,042-
malam	- 527,742-
segera	- 520,577-
minggu	- 514,337-
pula	- 514,306-
barang	- 505,782-
badan	- 505,752-
tanggal	- 501,903-
jam	- 501,114-
paham	- 496,337-
bicara	- 494,670-
tepat	- 493,045-
bawah	- 492,601-
wanita	- 489,987-
tutup	- 487,316-
warna	- 485,724-
sulit	- 480,168-
sedikit	- 479,659-
selatan	- 477,563-
pukul	- 477,075-
teman	- 470,239-
usia	- 457,703-
kira	- 457,564-
keras	- 453,228-
bebas	- 447,328-
kelas	- 446,992-
cinta	- 445,528-
arah	- 444,185-
dokter	- 443,219-
lima	- 440,928-
catat	- 437,423-
lewat	- 437,319-
dengar	- 435,817-
surat	- 435,056-
kirim	- 434,259-
nomor	- 434,056-
terbang	- 422,536-
ribu	- 413,686-
kasih	- 412,315-
bayar	- 411,356-
mati	- 410,124-
film	- 408,218-
kunci	- 407,283-
foto	- 403,523-
perempuan	- 401,770-
menit	- 401,373-
hotel	- 400,826-
berat	- 396,897-
cerita	- 390,968-
bersih	- 387,985-
meter	- 379,733-
belakang	- 378,847-
laut	- 375,251-
tidur	- 371,619-
motor	- 369,634-
utara	- 367,364-
telepon	- 367,306-
muka	- 363,668-
ulang	- 352,036-
suka	- 349,496-
kemarin	- 349,121-
bagus	- 347,717-
hampir	- 343,844-
si	- 342,532-
murah	- 341,978-
istri	- 337,942-
kaki	- 337,923-
pesawat	- 336,606-
pria	- 328,848-
musim	- 328,681-
pulau	- 325,786-
bumi	- 325,125-
bapak	- 325,032-
henti	- 324,057-
ikan	- 318,000-
berita	- 316,639-
tunggu	- 310,060-
hutan	- 308,133-
gedung	- 302,961-
senang	- 299,508-
minum	- 296,056-
sini	- 293,893-
senin	- 288,033-
rabu	- 284,607-
indah	- 281,471-
dorong	- 280,308-
sayang	- 279,308-
pagi	- 278,062-
kamis	- 271,909-
selasa	- 271,477-
musik	- 268,388-
tiba	- 268,151-
pak	- 265,724-
jumat	- 263,048-
miskin	- 260,354-
kaya	- 259,805-
putih	- 259,293-
batu	- 256,264-
olahraga	- 252,204-
toko	- 250,505-
puluh	- 249,561-
lemah	- 249,548-
merah	- 247,822-
suami	- 247,699-
buruk	- 247,283-
laki	- 246,864-
panas	- 243,759-
televisi	- 242,933-
pergi	- 240,909-
kapal	- 239,477-
desember	- 237,673-
januari	- 236,750-
moga	- 236,202-
gram	- 236,111-
saudara	- 234,487-
mandi	- 232,691-
lagu	- 232,637-
enam	- 227,203-
takut	- 224,550-
bunga	- 224,375-
